# Latitud         	Longitud 	      	Pais      	Bandera		
34.520418555522845	69.20082090000005	Afganistan	afganistan.ppm	
41.332136072796175	19.812877200000003	Albania	albania.ppm	
52.50786264022465	13.426141949999987	Alemania	alemania.ppm	
-11.294616098942507	17.877003150000064	Angola	angola.ppm
24.725939314861463 	46.822528799999986	ArabiaSaudita	arabiasaudi.ppm	
28.415101049232497	1.6666662999999744	Argelia	argelia.ppm
-34.61590069251671	-58.433298449999995	Argentina	argentina.ppm
40.0817343141965	45.04071690000001	Armenia	armenia.ppm
-27.787075486256633	133.28132295	Australia	australia.ppm
47.71329162782909	13.34573480000006	Austria	austria.ppm
40.17498736058696	47.56637439999997	Azerbaiyan	azerbaiyan.ppm
50.51175446185682	4.476532349999957	Belgica	belgica.ppm
-16.520736280532606	-68.0915129	Bolivia	bolivia.ppm
43.93206629763536	17.67282150750000014	BosniaHerzegovina	bosniaherzegovina.ppm
-15.127750465951602	-53.180596700000024	Brasil	brasil.ppm
42.743183075563316	25.48330390000001	Bulgaria	bulgaria.ppm
12.254845274309291	-1.5584094000000732	BurkinaFaso	burkina.ppm
-3.3902102430012944 	29.925582899999995	Burundi	burundi.ppm
27.53455005213239	90.43585280000002	Butan	butan.ppm
17.246400332673307	-19.670602940234403	CaboVerde	caboverde.ppm
11.997076634578972	104.9806145	Camboya	camboya.ppm
7.406652727545182	12.344585699999925	Camerun	camerun.ppm
58.695433501291085	-96	Canada	canada.ppm
25.33013186654572	51.19665770000006	Catar	qatar.ppm
15.601871688739438 	18.735000499999956	Chad	chad.ppm
4.283635422564345	-74.22403995000002	Colombia	colombia.ppm
-33.6705297862472	-70.36337194999999	Chile	chile.ppm
37.943768420529985	104.13611175000005	China	china.ppm
35.17152769986567	33.43660380000006	Chipre	chipre.ppm
39.02918051275547 	125.74211179999998	CoreaNorte	corea_norte.pgm
35.90947405718781 	127.09640510000008	CoreaSur	corea_sur.pgm
9.633931465220899	-84.25418434999995	CostaRica	costarica.ppm
-0.18659558628491132	-78.4305382	Ecuador	ecuador.ppm
13.691481458911323	-89.21469394999997	ElSalvador	elsalvador.ppm
35.08690549340541	-103.72339606166992	EstadosUnidos	estadosunidos.ppm
40.40051528912146	-3.5916460749999635	España	españa.ppm
48.85887766623369	2.3470598999999766	Francia	francia.ppm
15.788111861178445	-90.22872565	Guatemala	guatemala.ppm
14.422538164676899	-87.63432239999997	Honduras	honduras.ppm
51.528868434293244	-0.10159864999991441	Inglaterra	inglaterra.ppm
31.79635921136502	35.17535900000007	Israel	israel.ppm
41.91022566604198	12.535997900000098	Italia	italia.ppm
35.673473752079516	139.71038800000008	Japon	japon.ppm
12.097591519086958	-86.25846060000003	Nicaragua	nicaragua.ppm
52.76081718996433 	8.747611999999986	Noruega		noruega.ppm
19.320324854426335	-99.15218449999998	Mexico	mexico.ppm
8.874174555928159	-79.77636344999996	Panama	panama.ppm
-12.055345316962327	-77.04518530000001	Peru	peru.ppm
18.48030093645532 	-69.94692029999999	RepublicaDominicana	republicadominicana.ppm
62.88647107195116	61.551173617626986	Rusia			rusia.ppm
10.468400048880145	-66.89036584999997	Venezuela	venezuela.ppm
-19.051901092806112	29.15280180000002	Zimbaue		zimbaue.ppm
